land_cover_id,year,modis_land_cover,esa_land_cover,npv_biome_type,main_id,source_id
land_cover_id-5801b453-1,2021,Woody Savannas,Built-up,,QC-MAIN-5801b453,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d29e0839-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,QC-MAIN-d29e0839,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f1ff4920-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,QC-MAIN-f1ff4920,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4ea8ac9d-1,2021,Grasslands,Moss & Lichen,,NU-MAIN-4ea8ac9d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e7e6a960-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Mixed Forest,QC-MAIN-e7e6a960,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-aeafbb59-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Evergreen Needleleaf Forest,ON-MAIN-aeafbb59,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c0660aec-1,2021,Grasslands,Tree Cover,,QC-MAIN-c0660aec,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e51eda66-1,2021,Mixed Forests,Built-up,Cool Mixed Forest,QC-MAIN-e51eda66,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1f126a43-1,2021,Savannas,Built-up,Cool Mixed Forest,ON-MAIN-1f126a43,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-730aefe3-1,2021,Grasslands,Bare/Sparse Vegetation,Low and High Shrub Tundra,NU-MAIN-730aefe3,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8b0264c9-1,2021,Grasslands,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,NU-MAIN-8b0264c9,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-5d21dbd5-1,2021,Woody Savannas,Permanent Water Bodies,,MB-MAIN-5d21dbd5,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-74997012-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-74997012,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-687b8c8d-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-687b8c8d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-7607a50e-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,ON-MAIN-7607a50e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-52c01ae4-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-52c01ae4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eac5a52b-1,2021,Mixed Forests,Built-up,Cool Mixed Forest,QC-MAIN-eac5a52b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-81a288d0-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-81a288d0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c8966bdc-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-c8966bdc,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eab8c362-1,2021,Urban & Built-up,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-eab8c362,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8c7063b2-1,2021,Open Shrublands,Tree Cover,Cool Mixed Forest,QC-MAIN-8c7063b2,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3ef4f421-1,2021,Evergreen Needleleaf Forest,Grassland,Cool Evergreen Needleleaf Forest,BC-MAIN-3ef4f421,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-9fed34a8-1,2021,Grasslands,Built-up,Cold Evergreen Needleleaf Forest,AB-MAIN-9fed34a8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-33c09b8b-1,2021,Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,QC-MAIN-33c09b8b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-084bd95c-1,2021,Grasslands,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-084bd95c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1eee4ace-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-1eee4ace,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-844dcc47-1,2021,Grasslands,Tree Cover,Cool Mixed Forest,QC-MAIN-844dcc47,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e25eed27-1,2021,Permanent Wetlands,Built-up,Cool Mixed Forest,QC-MAIN-e25eed27,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4c35e094-1,2021,Water,Built-up,Cool Mixed Forest,ON-MAIN-4c35e094,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8825d90d-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,ON-MAIN-8825d90d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-de2e2f8e-1,2021,Croplands,Cropland,Steppe,SK-MAIN-de2e2f8e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e928d96a-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,ON-MAIN-e928d96a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4f11f183-1,2021,Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,NT-MAIN-4f11f183,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-46f71d5b-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-46f71d5b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-5154702a-1,2021,Grasslands,Moss & Lichen,Graminoid and Forb Tundra,NU-MAIN-5154702a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-6e9be24e-1,2021,Urban & Built-up,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-6e9be24e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8434dce0-1,2021,Woody Savannas,Built-up,Cold Evergreen Needleleaf Forest,AB-MAIN-8434dce0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-2cc9bb06-1,2021,Savannas,Grassland,Cold Evergreen Needleleaf Forest,YT-MAIN-2cc9bb06,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-895cb178-1,2021,Woody Savannas,Grassland,Cool Mixed Forest,NL-MAIN-895cb178,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-6c1d6ee6-1,2021,Grasslands,Built-up,Cold Evergreen Needleleaf Forest,NT-MAIN-6c1d6ee6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-0c5b40d8-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,NB-MAIN-0c5b40d8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-484e4fa3-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,ON-MAIN-484e4fa3,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-91cf5448-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,SK-MAIN-91cf5448,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-bb89158f-1,2021,Grasslands,Moss & Lichen,Cold Evergreen Needleleaf Forest,SK-MAIN-bb89158f,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d3c471e8-1,2021,Grasslands,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,SK-MAIN-d3c471e8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-237587f6-1,2021,Water,Built-up,,ON-MAIN-237587f6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4c5c1179-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-4c5c1179,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8e04eb21-1,2021,Deciduous Broadleaf Forest,Bare/Sparse Vegetation,Cool Mixed Forest,NB-MAIN-8e04eb21,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-37e9571e-1,2021,Woody Savannas,Built-up,Cold Evergreen Needleleaf Forest,ON-MAIN-37e9571e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3e7d42ac-1,2021,Woody Savannas,Grassland,Cool Mixed Forest,NB-MAIN-3e7d42ac,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eae1621e-1,2021,Permanent Wetlands,Moss & Lichen,Cold Evergreen Needleleaf Forest,NU-MAIN-eae1621e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-5ce331b8-1,2021,Grasslands,Moss & Lichen,Low and High Shrub Tundra,QC-MAIN-5ce331b8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eba3e309-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-eba3e309,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e34feb4d-1,2021,Grasslands,Moss & Lichen,Cold Evergreen Needleleaf Forest,BC-MAIN-e34feb4d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-ed23117f-1,2021,Evergreen Needleleaf Forest,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,BC-MAIN-ed23117f,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-089f3c60-1,2021,Grasslands,Bare/Sparse Vegetation,,QC-MAIN-089f3c60,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-251d6364-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,NL-MAIN-251d6364,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-be399420-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,ON-MAIN-be399420,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3330383b-1,2021,Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-3330383b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-6fca9d6d-1,2021,Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,MB-MAIN-6fca9d6d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d4e2812a-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,QC-MAIN-d4e2812a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-9a0307f6-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,AB-MAIN-9a0307f6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-715d4318-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-715d4318,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-94e652a5-1,2021,Grasslands,Moss & Lichen,Cold Evergreen Needleleaf Forest,NT-MAIN-94e652a5,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-382acb18-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-382acb18,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4aef3cb2-1,2021,Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,SK-MAIN-4aef3cb2,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-95ec2625-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,SK-MAIN-95ec2625,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-51068f3b-1,2021,Evergreen Needleleaf Forest,Grassland,Low and High Shrub Tundra,BC-MAIN-51068f3b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-7d4a0421-1,2021,Croplands,Grassland,Cold Evergreen Needleleaf Forest,AB-MAIN-7d4a0421,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f9e41c2a-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,QC-MAIN-f9e41c2a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-6664e89b-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,ON-MAIN-6664e89b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-5398dfac-1,2021,Grasslands,Built-up,Cool Mixed Forest,QC-MAIN-5398dfac,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-2cf66e65-1,2021,Croplands,Grassland,Cool Mixed Forest,QC-MAIN-2cf66e65,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-7f050560-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-7f050560,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-26b9aaf3-1,2021,Urban & Built-up,Built-up,Steppe,SK-MAIN-26b9aaf3,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c1cc9f7c-1,2021,Croplands,Built-up,Cool Mixed Forest,QC-MAIN-c1cc9f7c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c139de6d-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,NL-MAIN-c139de6d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-842ba1b4-1,2021,Woody Savannas,Tree Cover,,NL-MAIN-842ba1b4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-ca488f19-1,2021,Barren,Bare/Sparse Vegetation,Low and High Shrub Tundra,YT-MAIN-ca488f19,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-70d629b4-1,2021,Grasslands,Moss & Lichen,Low and High Shrub Tundra,YT-MAIN-70d629b4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-efff21d3-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Evergreen Needleleaf Forest,BC-MAIN-efff21d3,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-0684a5d8-1,2021,Water,Tree Cover,Cold Evergreen Needleleaf Forest,SK-MAIN-0684a5d8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f7fde5b4-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,MB-MAIN-f7fde5b4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-ae473a4e-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,QC-MAIN-ae473a4e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-7a11ae49-1,2021,Woody Savannas,Grassland,Cold Evergreen Needleleaf Forest,SK-MAIN-7a11ae49,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-ca9625ce-1,2021,Croplands,Cropland,Cold Evergreen Needleleaf Forest,AB-MAIN-ca9625ce,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b7cdf82c-1,2021,Savannas,Moss & Lichen,Cold Evergreen Needleleaf Forest,NT-MAIN-b7cdf82c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d47616e5-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cool Mixed Forest,ON-MAIN-d47616e5,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e1641dfb-1,2021,Grasslands,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-e1641dfb,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c06904f0-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,ON-MAIN-c06904f0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-64bbe7e6-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-64bbe7e6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-22426144-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-22426144,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-0d5c2cae-1,2021,Croplands,Bare/Sparse Vegetation,Cool Mixed Forest,MB-MAIN-0d5c2cae,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-92cdea80-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,ON-MAIN-92cdea80,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-bddeaef0-1,2021,Savannas,Built-up,Cool Mixed Forest,ON-MAIN-bddeaef0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b4ca1426-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,MB-MAIN-b4ca1426,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-21b6ab35-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,ON-MAIN-21b6ab35,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-de3d8b7b-1,2021,Urban & Built-up,Built-up,,QC-MAIN-de3d8b7b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-529c96b4-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-529c96b4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-206041d1-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,ON-MAIN-206041d1,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-abb3e1c7-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-abb3e1c7,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-30c1828c-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,QC-MAIN-30c1828c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f8313ebd-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-f8313ebd,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-fcb287a4-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,ON-MAIN-fcb287a4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-319e04a8-1,2021,Woody Savannas,Tree Cover,Cool Mixed Forest,ON-MAIN-319e04a8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-a97821c0-1,2021,Barren,Bare/Sparse Vegetation,Low and High Shrub Tundra,QC-MAIN-a97821c0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-ed85ac94-1,2021,Deciduous Broadleaf Forest,Built-up,Cool Mixed Forest,ON-MAIN-ed85ac94,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-40ce0593-1,2021,Grasslands,Built-up,Cool Mixed Forest,ON-MAIN-40ce0593,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-4724f4ba-1,2021,Grasslands,Grassland,Cold Evergreen Needleleaf Forest,BC-MAIN-4724f4ba,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-956d050a-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,YT-MAIN-956d050a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-97ee890f-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-97ee890f,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-27a90834-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,MB-MAIN-27a90834,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-fbe28fef-1,2021,Croplands,Cropland,Steppe,SK-MAIN-fbe28fef,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b031959a-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-b031959a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b86f7d07-1,2021,Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,QC-MAIN-b86f7d07,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-44857446-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,YT-MAIN-44857446,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c3105f43-1,2021,Grasslands,Grassland,Low and High Shrub Tundra,YT-MAIN-c3105f43,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-fc6f1a44-1,2021,Grasslands,Built-up,Cool Mixed Forest,ON-MAIN-fc6f1a44,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e2e67f8f-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,MB-MAIN-e2e67f8f,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-599152a0-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Evergreen Needleleaf Forest,BC-MAIN-599152a0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-be5b3dc8-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,MB-MAIN-be5b3dc8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-da0b5c3d-1,2021,Woody Savannas,Built-up,,MB-MAIN-da0b5c3d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c0684566-1,2021,Woody Savannas,Tree Cover,,MB-MAIN-c0684566,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-0898e255-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,MB-MAIN-0898e255,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-854abe09-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,MB-MAIN-854abe09,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1a82a1b7-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,MB-MAIN-1a82a1b7,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
