land_cover_id,year,modis_land_cover,esa_land_cover,npv_biome_type,main_id,source_id
land_cover_id-3b3e5365-1,2021,Grasslands,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-3b3e5365,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8eb8be0d-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-8eb8be0d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-6dc537e6-1,2021,Permanent Wetlands,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,QC-MAIN-6dc537e6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b4655afb-1,2021,Permanent Wetlands,Tree Cover,Low and High Shrub Tundra,BC-MAIN-b4655afb,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3012889c-1,2021,Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,SK-MAIN-3012889c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1910d1c3-1,2021,Grasslands,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,YT-MAIN-1910d1c3,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-288718a6-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,QC-MAIN-288718a6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f58cc895-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,NB-MAIN-f58cc895,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8b86d975-1,2021,Mixed Forests,Built-up,Cool Mixed Forest,ON-MAIN-8b86d975,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-6fbdcf4c-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cool Evergreen Needleleaf Forest,BC-MAIN-6fbdcf4c,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
