climate_category_id,year,scenario,category,main_id,source_id
CC-5ce331b8-1991_2020-historical-1,1991_2020,historical,"ET - Polar, tundra",QC-MAIN-5ce331b8,https://doi.org/10.1038/s41597-023-02549-6
CC-eba3e309-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",BC-MAIN-eba3e309,https://doi.org/10.1038/s41597-023-02549-6
CC-e34feb4d-1991_2020-historical-1,1991_2020,historical,"ET - Polar, tundra",BC-MAIN-e34feb4d,https://doi.org/10.1038/s41597-023-02549-6
CC-ed23117f-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",BC-MAIN-ed23117f,https://doi.org/10.1038/s41597-023-02549-6
CC-089f3c60-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-089f3c60,https://doi.org/10.1038/s41597-023-02549-6
CC-251d6364-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",NL-MAIN-251d6364,https://doi.org/10.1038/s41597-023-02549-6
CC-be399420-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-be399420,https://doi.org/10.1038/s41597-023-02549-6
CC-3330383b-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-3330383b,https://doi.org/10.1038/s41597-023-02549-6
CC-6fca9d6d-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",MB-MAIN-6fca9d6d,https://doi.org/10.1038/s41597-023-02549-6
CC-d4e2812a-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-d4e2812a,https://doi.org/10.1038/s41597-023-02549-6
CC-9a0307f6-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",AB-MAIN-9a0307f6,https://doi.org/10.1038/s41597-023-02549-6
CC-715d4318-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-715d4318,https://doi.org/10.1038/s41597-023-02549-6
CC-94e652a5-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",NT-MAIN-94e652a5,https://doi.org/10.1038/s41597-023-02549-6
CC-382acb18-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",BC-MAIN-382acb18,https://doi.org/10.1038/s41597-023-02549-6
CC-4aef3cb2-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",SK-MAIN-4aef3cb2,https://doi.org/10.1038/s41597-023-02549-6
CC-95ec2625-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",SK-MAIN-95ec2625,https://doi.org/10.1038/s41597-023-02549-6
CC-51068f3b-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",BC-MAIN-51068f3b,https://doi.org/10.1038/s41597-023-02549-6
CC-7d4a0421-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",AB-MAIN-7d4a0421,https://doi.org/10.1038/s41597-023-02549-6
CC-f9e41c2a-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-f9e41c2a,https://doi.org/10.1038/s41597-023-02549-6
CC-6664e89b-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-6664e89b,https://doi.org/10.1038/s41597-023-02549-6
CC-5398dfac-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-5398dfac,https://doi.org/10.1038/s41597-023-02549-6
CC-2cf66e65-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-2cf66e65,https://doi.org/10.1038/s41597-023-02549-6
CC-7f050560-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-7f050560,https://doi.org/10.1038/s41597-023-02549-6
CC-26b9aaf3-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",SK-MAIN-26b9aaf3,https://doi.org/10.1038/s41597-023-02549-6
CC-c1cc9f7c-1991_2020-historical-1,1991_2020,historical,,QC-MAIN-c1cc9f7c,https://doi.org/10.1038/s41597-023-02549-6
