protected_area_id,land_name,land_type,distance_km,main_id,source_id
18415,SKWAHA LAKE ECOLOGICAL RESERVE,Ecological Reserve,32.398,BC-MAIN-bf503b6b,https://www.protectedplanet.net
18417,SOAP LAKE ECOLOGICAL RESERVE,Ecological Reserve,21.775,BC-MAIN-bf503b6b,https://www.protectedplanet.net
18420,SUTTON PASS ECOLOGICAL RESERVE,Ecological Reserve,36.415,BC-MAIN-23155c25,https://www.protectedplanet.net
18421,TACHEEDA LAKES ECOLOGICAL RESERVE,Ecological Reserve,29.267,BC-MAIN-382acb18,https://www.protectedplanet.net
18423,TAKLA LAKE ECOLOGICAL RESERVE,Ecological Reserve,34.056,BC-MAIN-265a57f6,https://www.protectedplanet.net
18427,TRANQUILLE ECOLOGICAL RESERVE,Ecological Reserve,11.68,BC-MAIN-aa76f6f2,https://www.protectedplanet.net
18427,TRANQUILLE ECOLOGICAL RESERVE,Ecological Reserve,44.009,BC-MAIN-bf503b6b,https://www.protectedplanet.net
18434,WHIPSAW CREEK ECOLOGICAL RESERVE,Ecological Reserve,6.577,BC-MAIN-599152a0,https://www.protectedplanet.net
18435,WILLIAMS CREEK ECOLOGICAL RESERVE,Ecological Reserve,49.232,BC-MAIN-eb47f7c7,https://www.protectedplanet.net
18477,Emily Provincial Park (Recreational Class),Provincial Park,48.283,ON-MAIN-237587f6,https://www.protectedplanet.net
18483,CARP LAKE PARK,A - Park,45.853,BC-MAIN-ed23117f,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,48.846,QC-MAIN-81a288d0,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,45.765,QC-MAIN-5398dfac,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,48.077,QC-MAIN-649d2873,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,47.994,QC-MAIN-a555d9b9,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,48.112,QC-MAIN-c1c7eb99,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,34.783,QC-MAIN-01c1e81f,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,48.648,QC-MAIN-c0e3a48b,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,47.564,QC-MAIN-92628f16,https://www.protectedplanet.net
18537,G.-Oscar-Villeneuve Ecological Reserve,Réserve écologique,25.85,QC-MAIN-64595b02,https://www.protectedplanet.net
18538,Abitibi-De-Troyes Provincial Park (Cultural Heritage Class),Provincial Park,25.942,ON-MAIN-4e0734b5,https://www.protectedplanet.net
18539,Agassiz Peatlands Provincial Park (Nature Reserve Class),Provincial Park,31.06,ON-MAIN-0aadf28f,https://www.protectedplanet.net
18543,Bronte Creek Provincial Park (Recreational Class),Provincial Park,15.094,ON-MAIN-4c35e094,https://www.protectedplanet.net
18543,Bronte Creek Provincial Park (Recreational Class),Provincial Park,30.944,ON-MAIN-e928d96a,https://www.protectedplanet.net
18543,Bronte Creek Provincial Park (Recreational Class),Provincial Park,40.134,ON-MAIN-bddeaef0,https://www.protectedplanet.net
18543,Bronte Creek Provincial Park (Recreational Class),Provincial Park,14.806,ON-MAIN-020a683c,https://www.protectedplanet.net
18546,Caliper Lake Provincial Park (Recreational Class),Provincial Park,25.613,ON-MAIN-0aadf28f,https://www.protectedplanet.net
18549,Chapleau-Nemegosenda River Provincial Park (Waterway Class),Provincial Park,6.981,ON-MAIN-1c674cd0,https://www.protectedplanet.net
18550,Craig's Pit Provincial Park (Nature Reserve Class),Provincial Park,30.417,ON-MAIN-6e9be24e,https://www.protectedplanet.net
18550,Craig's Pit Provincial Park (Nature Reserve Class),Provincial Park,9.562,ON-MAIN-64bbe7e6,https://www.protectedplanet.net
18552,Edward Island Provincial Park (Nature Reserve Class),Provincial Park,47.907,ON-MAIN-be399420,https://www.protectedplanet.net
18557,Kesagami Provincial Park,Provincial Park,31.993,ON-MAIN-aeafbb59,https://www.protectedplanet.net
18558,Kettle Lakes Provincial Park (Recreational Class),Provincial Park,46.09,ON-MAIN-4c5c1179,https://www.protectedplanet.net
18558,Kettle Lakes Provincial Park (Recreational Class),Provincial Park,37.761,ON-MAIN-f8313ebd,https://www.protectedplanet.net
18558,Kettle Lakes Provincial Park (Recreational Class),Provincial Park,37.355,ON-MAIN-4e0734b5,https://www.protectedplanet.net
18558,Kettle Lakes Provincial Park (Recreational Class),Provincial Park,32.793,ON-MAIN-8629a493,https://www.protectedplanet.net
18558,Kettle Lakes Provincial Park (Recreational Class),Provincial Park,16.003,ON-MAIN-538513cd,https://www.protectedplanet.net
18558,Kettle Lakes Provincial Park (Recreational Class),Provincial Park,28.329,ON-MAIN-3b3e5365,https://www.protectedplanet.net
18558,Kettle Lakes Provincial Park (Recreational Class),Provincial Park,21.126,ON-MAIN-bfbcd72e,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,48.453,ON-MAIN-319e04a8,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,49.155,ON-MAIN-7001a391,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,24.268,ON-MAIN-9a34108c,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,25.205,ON-MAIN-b1d981ca,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,28.773,ON-MAIN-54b7e152,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,40.352,ON-MAIN-de2f9639,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,39.549,ON-MAIN-f080c409,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,38.727,ON-MAIN-63b394c3,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,34.13,ON-MAIN-52224e1e,https://www.protectedplanet.net
18560,Killarney Provincial Park (Wilderness Class),Provincial Park,21.127,ON-MAIN-28f3f0fc,https://www.protectedplanet.net
18563,Ouimet Canyon Provincial Park (Nature Reserve Class),Provincial Park,18.365,ON-MAIN-be399420,https://www.protectedplanet.net
18566,Sable Islands Provincial Park (Nature Reserve Class),Provincial Park,40.842,ON-MAIN-0aadf28f,https://www.protectedplanet.net
18572,Spruce Islands Provincial Park (Nature Reserve Class),Provincial Park,22.322,ON-MAIN-0aadf28f,https://www.protectedplanet.net
18573,Slate Islands Provincial Park (Natural Environment Class),Provincial Park,45.621,ON-MAIN-64bbe7e6,https://www.protectedplanet.net
18573,Slate Islands Provincial Park (Natural Environment Class),Provincial Park,43.289,ON-MAIN-3c468faa,https://www.protectedplanet.net
18575,Wakami Lake Provincial Park (Recreational Class),Provincial Park,44.369,ON-MAIN-1c674cd0,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,43.23,ON-MAIN-206041d1,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,12.778,ON-MAIN-fcb287a4,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,47.537,ON-MAIN-319e04a8,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,43.081,ON-MAIN-ed85ac94,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,21.947,ON-MAIN-40ce0593,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,48.41,ON-MAIN-7001a391,https://www.protectedplanet.net
