source_id,source_provenance,source_name
https://miningdataonline.com/property/9/Timmins-West-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1741/Sugar-Zone-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/367/Kidd-Creek-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/63/Musselwhite-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/233/Eleonore-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/3048/Kiena-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1694/Lamaque-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/1524/Seabee-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/959/Meliadine-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
"https://miningdataonline.com/property/173/McCreedy-West,--Morrison-Levack-Sudbury-Basin-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496",dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/12/Niobec-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/46/LaRonde-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/98/McClean-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/26/Cigar-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/58/Minto-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/47/Meadowbank-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://miningdataonline.com/property/563/Manitoba-Snow-Lake-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,dataset,Mining Data Online: Critical Minerals Mapping Initiative
https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221,dataset,Modis Land Cover and ESA World Cover
https://doi.org/10.7717/peerj.5457,dataset,Potential Natural Vegetation (NPV)
https://www.protectedplanet.net,dataset,World Database on Protected Areas (WDPA)
WesdomeGoldMinesLtd_2023-ESG-Data-Tables,report,2023-ESG-Data-Tables.xlsx
NewGoldInc_2023-New-Gold-ESG-Data-Factbook,report,2023-New-Gold-ESG-Data-Factbook.xlsx
NewmontCorporation_2023-Performance-data,report,2023-Performance-data.xlsx
AlcoaCorporation_2023-Sustainability-Data-Book,report,2023-Sustainability-Data-Book.xlsx
AgnicoEagleMinesLimited_2023-Sustainability-Performance_data,report,2023-Sustainability-Performance_data
IAMGOLDCorporation_2023_iamgold-esg-performance-data-final_protected,report,2023_iamgold-esg-performance-data-final_protected
NewmountCorporation_2023_reserves,report,2023_reserves
Glencore_2024+ESG+data+book,report,2024+ESG+data+book.xlsx
RioTinto_2024-4qor-xlsx,report,2024-4qor-xlsx.xlsx
BurgundyDiamondMines_2024-Annual-Mineral-Resouces-and-Ore-Reserves-,report,2024-Annual-Mineral-Resouces-and-Ore-Reserves-.pdf
WesdomeGoldMinesLtd_2024-MDA-FINAL,report,2024-MDA-FINAL
ImperialMetalsCorporation_2024-Q4-MDA,report,2024-Q4-MDA
RioTinto_2024-sustainability-factbook,report,2024-sustainability-factbook.xlsx
TeckResourcesLimited_2024_Annual_report,report,2024_Annual_report
AgnicoEagleMinesLimited_2024_MRMR,report,2024_MRMR
NewGoldInc_2024_MRMR,report,2024_MRMR
ArcelorMittal_4q24-analyst-model-with-factbook-app,report,4q24-analyst-model-with-factbook-app.xlsx
BaffinlandIronMinesCorporation_4q24-analyst-model-with-factbook-app,report,4q24-analyst-model-with-factbook-app.xlsx
CamecoCorporation_AR_2023,report,AR_2023.pdf
SayonaQuébecInc_AR_2023,report,AR_2023.pdf
SilverLakeResourcesLtd_AR_2023,report,AR_2023.pdf
BaffinlandIronMinesCorporation_AR_2023,report,AR_2023.pdf
NewmontCorporation_AR_2024,report,AR_2024
FireFlyMetalsLtd_AR_2024,report,AR_2024
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042028,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042028
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042029,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042029
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042049,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042049
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042050,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042050
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042070,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042070
