peatland_presence,main_id,source_id
peat in soil mosaic,ON-MAIN-0aadf28f,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-1c674cd0,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-857b7b89,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-c720b195,https://greifswaldmoor.de/global-peatland-database-en.html
peat dominated,ON-MAIN-8629a493,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,ON-MAIN-538513cd,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,ON-MAIN-fefeaee4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-3b3e5365,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-8eb8be0d,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-6dc537e6,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-b4655afb,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-3012889c,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-1910d1c3,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-288718a6,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NB-MAIN-f58cc895,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-8b86d975,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-6fbdcf4c,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-265a57f6,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NT-MAIN-b3681e03,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-d6748d40,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,QC-MAIN-69bb36c1,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-60ba74c4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NT-MAIN-b99d4cb2,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,NL-MAIN-a498ddc6,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,ON-MAIN-bfbcd72e,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-f3e6ff08,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-3aa117d8,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-c1c7eb99,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-01c1e81f,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-eb47f7c7,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-c0e3a48b,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-92628f16,https://greifswaldmoor.de/global-peatland-database-en.html
peat dominated,QC-MAIN-8d6616b4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NT-MAIN-0ec39ce0,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-e82266c5,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-11c40b1f,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-3e146840,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-7b3b4c8b,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-eda110b0,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-73ce66b5,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-116ae608,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-dca9cce7,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-d5c9124e,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-c4fb59c2,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-1186a6d0,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-dc1a16f9,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-b7591127,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-4959ea63,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-03a159d7,https://greifswaldmoor.de/global-peatland-database-en.html
No data,AB-MAIN-d3a4aba9,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-f4fc3276,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-915d9faa,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-b1fe389a,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-1d2f31f9,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,NL-MAIN-bb23d8a6,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-22ce14be,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-29afbdb5,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NS-MAIN-c9c77a59,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-020a683c,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-b2e5c9bb,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-3032c251,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-b5937543,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-64595b02,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-a505d25d,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-c5d1b42d,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-6a26086e,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NL-MAIN-b64bae7a,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NL-MAIN-18695c6d,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-1aa10efa,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-23f67ea8,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-6b4800fe,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-18bed6d7,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NL-MAIN-e09881ff,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-b8c826a2,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-bf503b6b,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-193ddddb,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-3bb6b7cd,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-2587e541,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-23155c25,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-68c87980,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,QC-MAIN-b2148882,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-4a6187a4,https://greifswaldmoor.de/global-peatland-database-en.html
No data,SK-MAIN-9dd2b7f8,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-387b06fe,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-de2f9639,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-6e9b2449,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-f080c409,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-63b394c3,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-52224e1e,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-48fe2205,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-2e13aaa0,https://greifswaldmoor.de/global-peatland-database-en.html
peat in soil mosaic,MB-MAIN-e0a6250e,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-28f3f0fc,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NL-MAIN-d9036091,https://greifswaldmoor.de/global-peatland-database-en.html
No data,NL-MAIN-2d8801d6,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-860bbbfc,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-e05ed9fe,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-d59f82aa,https://greifswaldmoor.de/global-peatland-database-en.html
peat dominated,NT-MAIN-b1b28b01,https://greifswaldmoor.de/global-peatland-database-en.html
No data,AB-MAIN-63f096a6,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-be473617,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-3c468faa,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-cb85213a,https://greifswaldmoor.de/global-peatland-database-en.html
No data,QC-MAIN-9de9bb0d,https://greifswaldmoor.de/global-peatland-database-en.html
No data,ON-MAIN-c5fefb01,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-feb13c30,https://greifswaldmoor.de/global-peatland-database-en.html
No data,YT-MAIN-5e0d8b48,https://greifswaldmoor.de/global-peatland-database-en.html
peat dominated,ON-MAIN-12c68d49,https://greifswaldmoor.de/global-peatland-database-en.html
No data,BC-MAIN-891d3cb5,https://greifswaldmoor.de/global-peatland-database-en.html
