carbon_stock_ecosystems_id,pool,variable,unit,value,main_id,facility_group_id,source_id
carbon_stock-ca9625ce-8,soc,mean_act,tC/ha,88.0,AB-MAIN-ca9625ce,,https://zenodo.org/records/15777016
carbon_stock-ca9625ce-9,soc,mean_prim,tC/ha,88.0,AB-MAIN-ca9625ce,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-1,agbc,area_ha,ha,50.807026,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-2,agbc,mean_act,tC/ha,2.0,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-3,agbc,mean_prim,tC/ha,50.0,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-4,bgbc,area_ha,ha,50.807026,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-5,bgbc,mean_act,tC/ha,1.0,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-6,bgbc,mean_prim,tC/ha,13.0,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-7,soc,area_ha,ha,50.807026,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-8,soc,mean_act,tC/ha,95.0,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-d3a4aba9-9,soc,mean_prim,tC/ha,95.0,AB-MAIN-d3a4aba9,,https://zenodo.org/records/15777016
carbon_stock-116ae608-1,agbc,area_ha,ha,53.7,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-116ae608-2,agbc,mean_act,tC/ha,97.0,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-116ae608-3,agbc,mean_prim,tC/ha,97.0,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-116ae608-4,bgbc,area_ha,ha,53.7,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-116ae608-5,bgbc,mean_act,tC/ha,23.0,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-116ae608-6,bgbc,mean_prim,tC/ha,24.0,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-116ae608-7,soc,area_ha,ha,53.7,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-116ae608-8,soc,mean_act,tC/ha,85.0,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-116ae608-9,soc,mean_prim,tC/ha,86.0,BC-MAIN-116ae608,,https://zenodo.org/records/15777016
carbon_stock-12730593-1,agbc,area_ha,ha,45.23023,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-12730593-2,agbc,mean_act,tC/ha,40.0,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-12730593-3,agbc,mean_prim,tC/ha,40.0,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-12730593-4,bgbc,area_ha,ha,45.23023,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-12730593-5,bgbc,mean_act,tC/ha,10.0,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-12730593-6,bgbc,mean_prim,tC/ha,10.0,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-12730593-7,soc,area_ha,ha,45.23023,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-12730593-8,soc,mean_act,tC/ha,75.0,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-12730593-9,soc,mean_prim,tC/ha,75.0,BC-MAIN-12730593,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-1,agbc,area_ha,ha,53.42671,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-2,agbc,mean_act,tC/ha,92.0,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-3,agbc,mean_prim,tC/ha,92.0,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-4,bgbc,area_ha,ha,53.42671,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-5,bgbc,mean_act,tC/ha,24.0,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-6,bgbc,mean_prim,tC/ha,24.0,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-7,soc,area_ha,ha,53.42671,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-8,soc,mean_act,tC/ha,86.0,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-18bed6d7-9,soc,mean_prim,tC/ha,86.0,BC-MAIN-18bed6d7,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-1,agbc,area_ha,ha,46.29744,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-2,agbc,mean_act,tC/ha,40.0,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-3,agbc,mean_prim,tC/ha,53.0,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-4,bgbc,area_ha,ha,46.29744,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-5,bgbc,mean_act,tC/ha,11.0,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-6,bgbc,mean_prim,tC/ha,17.0,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-7,soc,area_ha,ha,46.29744,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-8,soc,mean_act,tC/ha,76.0,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-193ddddb-9,soc,mean_prim,tC/ha,79.0,BC-MAIN-193ddddb,,https://zenodo.org/records/15777016
carbon_stock-23155c25-1,agbc,area_ha,ha,55.682976,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
carbon_stock-23155c25-2,agbc,mean_act,tC/ha,64.0,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
carbon_stock-23155c25-3,agbc,mean_prim,tC/ha,119.0,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
carbon_stock-23155c25-4,bgbc,area_ha,ha,55.682976,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
carbon_stock-23155c25-5,bgbc,mean_act,tC/ha,16.0,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
carbon_stock-23155c25-6,bgbc,mean_prim,tC/ha,29.0,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
carbon_stock-23155c25-7,soc,area_ha,ha,55.682976,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
