prod_id,year,geography,commodity,reference_point,material_type,data_type,unit,value,value_tonnes,comment,main_id,facility_group_id,company_id,source_id
1754067_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,0.0,0.0,,QC-MAIN-30c1828c,GRP-b48ec279,CMP-d5f1c66b,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754071_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,0.0,0.0,,BC-MAIN-e34feb4d,,CMP-fa032e20,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754075_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,1526729.0065329743,1526729.0065329743,,MB-MAIN-be5b3dc8,GRP-a13779f8,CMP-12afc634,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754077_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,1501481.0064249367,1501481.0064249367,,QC-MAIN-e51eda66,,CMP-6265c407,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754081_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,527971.0022592229,527971.0022592229,,ON-MAIN-7001a391,,CMP-5f083f16,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754082_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,0.0,0.0,,NL-MAIN-c139de6d,,CMP-24a4f1d5,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754083_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,0.0,0.0,,YT-MAIN-752fbcae,,CMP-e0e7077f,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754084_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,21278000.09104997,21278000.09104997,,BC-MAIN-ed23117f,,CMP-fa032e20,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754085_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,5948239.025452908,5948239.025452908,,BC-MAIN-3f490561,,CMP-0dfcd91e,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754086_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,45000.00019255798,45000.00019255798,,BC-MAIN-23155c25,,CMP-05423572,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754087_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,2993000.0128072454,2993000.0128072454,,BC-MAIN-aa76f6f2,,CMP-d94be190,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754096_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,684879.0029306426,684879.0029306426,,QC-MAIN-a97821c0,,CMP-d5f1c66b,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754097_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,6887709.029472963,6887709.029472963,,BC-MAIN-8eb8be0d,,CMP-4a434d72,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754102_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,1431680.0061262536,1431680.0061262536,,ON-MAIN-40ce0593,GRP-de097f20,CMP-d5f1c66b,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754103_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,682000.0029183232,682000.0029183232,,MB-MAIN-e0a6250e,,CMP-9617aef4,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754104_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,518000.00221655634,518000.00221655634,,ON-MAIN-28f3f0fc,GRP-dc07540b,CMP-9617aef4,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754105_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,0.0,0.0,,QC-MAIN-b2148882,,CMP-1fbde0ec,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
1754106_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,1760000.0075311563,1760000.0075311563,,NL-MAIN-2d8801d6,,CMP-9617aef4,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
25486533_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,1350000.0057767394,1350000.0057767394,,ON-MAIN-f8313ebd,,CMP-d5f1c66b,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
25486534_prod,2023,Canada,Copper,Crude ore,,Production,t of copper ore,3798000.0162518937,3798000.0162518937,,ON-MAIN-a3c56a83,,CMP-967076a1,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
