population_id,year,buffer_size,total_population,main_id,source_id
population-aeafbb59-2025-2,2025,50km,0.01738503819797188,ON-MAIN-aeafbb59,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-aeafbb59-2030-1,2030,10km,0.0,ON-MAIN-aeafbb59,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-aeafbb59-2030-2,2030,50km,0.017780637950636446,ON-MAIN-aeafbb59,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-c0660aec-2025-1,2025,10km,31403.371318131358,QC-MAIN-c0660aec,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-c0660aec-2025-2,2025,50km,50469.10169722445,QC-MAIN-c0660aec,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-c0660aec-2030-1,2030,10km,32145.603184328207,QC-MAIN-c0660aec,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-c0660aec-2030-2,2030,50km,51607.99027181136,QC-MAIN-c0660aec,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e51eda66-2025-1,2025,10km,1331.5096001387822,QC-MAIN-e51eda66,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e51eda66-2025-2,2025,50km,85753.83910362789,QC-MAIN-e51eda66,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e51eda66-2030-1,2030,10km,1369.8654912880788,QC-MAIN-e51eda66,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-e51eda66-2030-2,2030,50km,87693.41743626243,QC-MAIN-e51eda66,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-1f126a43-2025-1,2025,10km,9692.441926674617,ON-MAIN-1f126a43,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-1f126a43-2025-2,2025,50km,18005.138853093245,ON-MAIN-1f126a43,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-1f126a43-2030-1,2030,10km,9988.39395048241,ON-MAIN-1f126a43,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-1f126a43-2030-2,2030,50km,18549.989496817372,ON-MAIN-1f126a43,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-730aefe3-2025-1,2025,10km,0.0,NU-MAIN-730aefe3,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-730aefe3-2025-2,2025,50km,0.0,NU-MAIN-730aefe3,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-730aefe3-2030-1,2030,10km,0.0,NU-MAIN-730aefe3,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-730aefe3-2030-2,2030,50km,0.0,NU-MAIN-730aefe3,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8b0264c9-2025-1,2025,10km,0.0,NU-MAIN-8b0264c9,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8b0264c9-2025-2,2025,50km,0.0,NU-MAIN-8b0264c9,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8b0264c9-2030-1,2030,10km,0.0,NU-MAIN-8b0264c9,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8b0264c9-2030-2,2030,50km,0.0,NU-MAIN-8b0264c9,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-5d21dbd5-2025-1,2025,10km,0.0,MB-MAIN-5d21dbd5,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-5d21dbd5-2025-2,2025,50km,0.0,MB-MAIN-5d21dbd5,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-5d21dbd5-2030-1,2030,10km,0.0,MB-MAIN-5d21dbd5,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-5d21dbd5-2030-2,2030,50km,0.0,MB-MAIN-5d21dbd5,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-74997012-2025-1,2025,10km,868.9827688471414,ON-MAIN-74997012,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
