main_id,facility_name,facility_group_id,facility_group_name,company_id,company_name,city,province,geometry,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owner(s),operator(s),operation_periods,company_URL,facility_URL,MDO_URL,source_id
QC-MAIN-8c7063b2,James Bay Lithium,,,CMP-336d5ebc,-,,Quebec,POINT (-77.06667 52.23333),project_facility,Active,Advanced project,project,,,Lithium (spodumene),,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
BC-MAIN-3ef4f421,Avanti Kitsault,,,CMP-336d5ebc,-,,British Columbia,POINT (-129.419 55.422),project_facility,Active,Advanced project,project,,,"Molybdenum, silver, lead",,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
AB-MAIN-9fed34a8,AltaSteel,,,CMP-c6e8351c,AltaSteel Inc,,Alberta,POINT (-113.387962 53.492783),active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,"AltaSteel is a 100% owned subsidiary of a Japanese steelmaking company, Kyoei Steel Ltd.",,,https://www.altasteel.com/,,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
QC-MAIN-33c09b8b,Fire Lake,GRP-1402249f,AMMC,CMP-3775c12e,ArcelorMittal,Fermont,Quebec,POINT (-67.363935 52.352998),active_facility,,,mining,Open-pit,Iron ore,Iron,"Arcelor Mittal SA (85%), POSCO International Corp (15%)",Arcelor Mittal,,https://mines-infrastructure-arcelormittal.com/en,https://northamerica.arcelormittal.com/our-operations/arcelormittal-mines-and-infrastructure-canada,https://miningdataonline.com/property/963/Fire-Lake-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
QC-MAIN-084bd95c,Mont-Wright,GRP-1402249f,AMMC,CMP-3775c12e,ArcelorMittal,Fermont,Quebec,POINT (-67.330058 52.757053),active_facility,,,mining,"Open-pit, concentrator",Iron ore,Iron,"Arcelor Mittal SA (85%), POSCO International Corp (15%)",Arcelor Mittal,1976–open,https://mines-infrastructure-arcelormittal.com/en,https://northamerica.arcelormittal.com/our-operations/arcelormittal-mines-and-infrastructure-canada,https://miningdataonline.com/property/962/Mont-Wright-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
QC-MAIN-1eee4ace,Contrecœur East,GRP-7a9ba115,Contrecoeur,CMP-3775c12e,ArcelorMittal,,Quebec,POINT (-73.249081 45.837723),active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,,,,https://long-canada.arcelormittal.com/fr/,,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
QC-MAIN-844dcc47,Contrecœur West,GRP-7a9ba115,Contrecoeur,CMP-3775c12e,ArcelorMittal,,Quebec,POINT (-73.263268 45.819938),active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,,,,https://long-canada.arcelormittal.com/fr/,,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
QC-MAIN-e25eed27,Port-Cartier,GRP-1402249f,AMMC,CMP-3775c12e,ArcelorMittal,,Quebec,POINT (-66.797531 50.03213),active_facility,,,manufacturing,Pelletizing plant,Iron ore,Iron ore,,,,https://corporate.arcelormittal.com/,https://northamerica.arcelormittal.com/our-operations/arcelormittal-mines-and-infrastructure-canada,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
ON-MAIN-4c35e094,ArcelorMittal Dofasco,,,CMP-3775c12e,ArcelorMittal,,Ontario,POINT (-79.805204 43.269132),active_facility,,,manufacturing,"Basic oxygen furnace, electric arc furnace",Iron ore,Steel,,,,https://corporate.arcelormittal.com/,,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
ON-MAIN-8825d90d,Magino,,,CMP-a6812c47,Argonaut Gold Inc,Timmins,Ontario,POINT (-84.45744 48.28869),active_facility,,,mining,"Open-pit, concentrator",Precious metals,"Gold, silver",Alamos Gold Inc (100%),Alamos Gold Inc?,,https://alamosgold.com/,,https://miningdataonline.com/property/1752/Magino-Project.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
