water_risk_id,indicator,year,scenario,value,main_id,source_id
water_risk-4ea8ac9d-2050-opt-3,Interannual Variability Label,2050,opt,Low - Medium (0.25-0.50),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-bau-1,Water Stress Label,2080,bau,Low (<10%),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-bau-2,Water Depletion Label,2080,bau,Low (<5%),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-bau-3,Interannual Variability Label,2080,bau,Low - Medium (0.25-0.50),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-pes-1,Water Stress Label,2080,pes,Low (<10%),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-pes-2,Water Depletion Label,2080,pes,Low (<5%),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-pes-3,Interannual Variability Label,2080,pes,Low - Medium (0.25-0.50),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-opt-1,Water Stress Label,2080,opt,Low (<10%),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-opt-2,Water Depletion Label,2080,opt,Low (<5%),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-4ea8ac9d-2080-opt-3,Interannual Variability Label,2080,opt,Low - Medium (0.25-0.50),NU-MAIN-4ea8ac9d,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2020-baseline-1,Water Stress Label,2020,baseline,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2020-baseline-2,Water Depletion Label,2020,baseline,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2020-baseline-3,Interannual Variability Label,2020,baseline,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2020-baseline-4,Groundwater Table Decline Label,2020,baseline,Insignificant Trend,QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2020-baseline-5,Coastal Eutrophication Potential Label,2020,baseline,Low (<-5),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2030-bau-1,Water Stress Label,2030,bau,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2030-bau-2,Water Depletion Label,2030,bau,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2030-bau-3,Interannual Variability Label,2030,bau,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2030-pes-1,Water Stress Label,2030,pes,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2030-pes-2,Water Depletion Label,2030,pes,Low (<5%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2030-pes-3,Interannual Variability Label,2030,pes,Low - Medium (0.25-0.50),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
water_risk-e7e6a960-2030-opt-1,Water Stress Label,2030,opt,Low (<10%),QC-MAIN-e7e6a960,https://www.wri.org/data/aqueduct-global-maps-40-data
